include,title,description,keywords,type,type_title,type_subtype,publication_date,conceptdoi,conceptrecid,doi,id,authors,language
,DITOs D4.5 Final Event Photographs Credit Quentin Chevrier,"Photographs from the ECSA General Assembly 2/4/19 and the DITOs final event 3/4/19, if used you must credit Quentin Chevrier","- DITOs, Doing It Together Science, H2020, CSA, citizen science, science policy, ECSA",image,Photo,photo,2019-04-03,10.5281/zenodo.2841562,2841562,10.5281/zenodo.2841563,2841563,- Quentin Chevrier,
NO,DITOs D4.5 Final Event Program,Program for the DITOs final event.  Part of Deliverable D4.5,"- DITOs, Doing It Together Science, H2020, CSA, citizen science, science policy",publication,Project deliverable,deliverable,2019-05-14,10.5281/zenodo.2808368,2808368,10.5281/zenodo.2808369,2808369,- DITOs Consortium,
,DITOs Fact finding and review collection of CS guidelines and publications,This is an initial collection of papers and guidelines related to Citizen Science. It was created to inform the first phase of the DITOs project. The collection is accessible via the ECSA website: https://ecsa.citizen-science.net/blog/collection-citizen-science-guidelines-and-publications,- citizen science,other,Other,,2019-06-17,10.5281/zenodo.3247822,3247822,10.5281/zenodo.3247823,3247823,- ECSA,eng
,DITOs_190625_Science bus_folk remedies,"These pages are copied from a notebook the science bus drivers used in 2017, when the DITOs science bus travelled through Europe. The bus drivers collected folk remedies from workshop participants, and wrote these down here. ","- DITOs
- H2020
- Doing It Together Science
- citizen science
- science bus",image,Other,other,2019-06-25,10.5281/zenodo.3256166,3256166,10.5281/zenodo.3256167,3256167,- Science bus drivers,eng
NO,DIY Hybrid Analog/Digital Modular Synthesis,"This paper describes three hardware devices for integrating modular synthesizers with computers, each with a different approach to the relationship between hardware and software. The devices discussed are the USB-Octomod, an 8-channel OSC-compatible computer-controlled control-voltage generator, the tabulaRasa, a hardware table-lookup oscillator synthesis module with corresponding waveform design software, and the pucktronix.snake.corral, a dual 8x8 computer-controlled analog signal routing matrix. The devices make use of open-source hardware and software, and are designed around affordable micro-controllers and integrated circuits.",,publication,Conference paper,conferencepaper,2012-06-01,10.5281/zenodo.1178426,1178426,10.5281/zenodo.1178427,1178427,"- Surges, Greg",
NO,"DNA barcoding and male genital morphology reveal five new cryptic species in the West Palearctic bee Seladonia smaragdula (Vachal, 1895) (Hymenoptera: Apoidea: Halictidae)","Pauly, Alain, Devalez, Jelle, Sonet, Gontran, Nagy, Zoltán Tamás, Boevé, Jean-Luc (2015): DNA barcoding and male genital morphology reveal five new cryptic species in the West Palearctic bee Seladonia smaragdula (Vachal, 1895) (Hymenoptera: Apoidea: Halictidae). Zootaxa 4034 (2): 257-290, DOI: http://dx.doi.org/10.11646/zootaxa.4034.2.2","- Biodiversity
- Taxonomy
- Animalia",publication,Journal article,article,2015-12-31,,732784,10.11646/zootaxa.4034.2.2,244969,"- Pauly, Alain
- Devalez, Jelle
- Sonet, Gontran
- Nagy, Zoltán Tamás
- Boevé, Jean-Luc",
SI!,DocuScooter: An innovative underwater scooter add-on for scuba diving Citizen Science,"In order to obtain robust and measurable data from the marine environment, citizen science projects need user-friendly tools that, during dives, autonomously gather information in an easy, low-cost and integrated way. Data collected from different devices and by different untrained divers must have good estimation of the position where the information has been acquired. With this goal, in the context of the Green Bubbles project, a novel platform, called DocuScooter has been designed and developed. DocuScooter implements all the algorithms to filter and merge data with correct timestamp and position preparing the complete mission report. After the mission, the diver can upload the report on an appropriate web service to produce a 3D documentation. In order to obtain the underwater position during the dive, a tailored device compatible with the platform is also presented. Result of the prototype of the platform and the first results of the position estimation algorithm are presented and discussed.","- Citizen Science
- Underwater robotics
- Underwater positioning systems
- Marine documentation
- European Union (EU)
- Marie Sklodowska-Curie Actions
- Grant Agreement No 643712
- Green Bubbles RISE for sustainable diving
- Green Bubbles",publication,Journal article,article,2017-03-22,,2581812,10.15406/iratj.2017.02.00010,2581813,"- Panebianco, Luca
- Scaradozzi, David
- Ciuccoli, Nicolò
- Zingaretti, Silvia
- Costa, Daniele
- Altepe, Corentin
- Egi, Murat S
- Palma, Marco
- Pantaleo, Ubaldo
- Ferraris, Davide
- Micheli, Fiorenza",
NO,"DoeDat, the Crowdsourcing Platform of Meise Botanic Garden","Herbarium specimens hold a wealth of data about plants; where they come from, where they were collected and by whom. Once digitized, these data can be searched, mapped and compared. However, the information on specimens is often handwritten and even the best software systems cannot read it. This is where we get real value from citizen involvement. Digitizing these data is only possible with the aid of human intelligence.

DoeDat is a multilingual open-source platform for transcription, based upon the DigiVol program of the Australian Museum and Atlas of Living Australia. DoeDat is a product of our digitization project Digital Access to Cultural Heritage Collections (DOE!), funded by the Flemish Government. DoeDat is about creating data and also, 'Doe Dat' means 'do that' in Dutch.

DoeDat will help us digitize our collections, and will also give the public the chance to take an active part in the process. We aim to build a community of enthusiastic online volunteers who will help us liberate botanical data from specimen labels and documents. We launched the platform on Science Day and within two months, more than one hundred volunteers had transcribed more than 4,000 specimens.

Join in at www.DoeDat.be","- crowdsourcing
- herbarium specimens
- transcription
- volunteer programs
- citizen science",publication,Journal article,article,2018-06-15,,1296647,10.3897/biss.2.26803,1296648,"- Groom, Quentin
- De Smedt, Sofie
- Veríssimo Pereira, Nuno
- Bogaerts, Ann
- Engledow, Henry",
,Doing It Together Science - the World needs more Citizen Science,Involving citizens in research and innovation programs is crucial in shaping our future. With the project Doing It Together Science we try to engage as many people as possible in Citizen Science. By combining expertise and resources we can come to innovative solutions grounded in society.  This video provides an introduction to the project and was publicly shown at the DITOs final event (pan-European policy forum) on 4th April 2019 at the Royal Belgian Institute of Natural Sciences in Brussels.,"- DITOs, Doing It Together Science, H2020, CSA, citizen science",video,Video/Audio,,2019-05-28,10.5281/zenodo.3233451,3233451,10.5281/zenodo.3233452,3233452,- Waag,eng
,DS3_DITOs_Capacity_Building_Tools_Results-events-database,"This csv file is the dataset of events that were completed by the DITOs consortium during the 3 year H2020 Coordination and Support Action 1/6/16-31/5/19

It contains the following fields:

Partner - The consortium partner responsible for organising the event

Title - The name of the event

Name of event as described in the DoA - The type of the event as listed in the DoA, or the word 'additional' if the event was not envisaged in the DoA

Page link - the link to the together science.eu page that held the event detail

Status - the status of the event (planned, completed or cancelled)

Date - the start date of the event in YYY-MM-DD format

Time - the start time of the event in 24HH:MM format

End date - the end date of the event in YYY-MM-DD format

End time - the end time of the event in 24HH:MM format

The event type - conference, exhibition, gaming competition, online, travelling bus or workshop

Audience number - an estimate (from the hosting partner) of the number of attendees

%Female -  an estimate (from the hosting partner) of the percentage of attendees

Workpackage - WP1-6 - the work package from the DoA relevant to that event

Partner org name and facilitator - the partner to contact and name(s) of facilitators

Lower age bracket - an estimate of the age of the youngest attendee

Upper age bracket - an estimate of the age of the oldest attendee

URLs - any associated websites for outputs or publicity

Event ID - a unique event identifier of the format XXXX_YYYYMMDD(z) where XXXX is partner identifier (ECSA, eutema, UCL, UPD, RBINS, Tekiu, UNIGE, WS, meritum, KI, MP - as defined in the Grant agreement), YYYYMMDD is the start date of the event and z is an optional suffix (a through z) used if the partner ran more than one event on that date

Location - the address where the event took place

Reporting period - the Grant agreement reporting period the event relates to

Phase - the DoA phase the event relates to

NGO - A list of any NGOs involved in co-hosting / contributing to the event

DIY and local communities - A list of any DIY and local communities s involved in co-hosting / contributing to the event

Local and national government - A list of any government bodies involved in co-hosting / contributing to the event

Industry, company and start-ups - A list of any industry/start-ups involved in co-hosting / contributing to the event

Other - A list of any other organisations involved in co-hosting / contributing to the event

Online resources - URLs for any related resources

Geolocation, latitude and longitude - coordinates of the event location","- Doing It Together Science, DITOs, H2020, CSA, citizen science, science outreach, SWAFS, events",dataset,Dataset,,2019-07-09,10.5281/zenodo.3274475,3274475,10.5281/zenodo.3274476,3274476,- DITOs consortium,eng
NO,DSpace – institutional repositories – dissemination of research results: A local case study,Abstract on open source software for creating digital archives for PSSOH 2018 conference organized by University of Belgrade - School of Electrical Engineering.,"- Dspace
- institutional repositories
- research infrastructure
- open science",publication,Conference paper,conferencepaper,2018-09-20,10.5281/zenodo.1411158,1411158,10.5281/zenodo.1411159,1411159,"- Rajović, Vasilije
- Kosanović, Biljana
- Ševkušić, Milica",eng
NO,Dvadeset pet godina R programskog jezika,Abstract on 25th anniversary of R programming language with personal experiences for PSSOH 2018 conference organized by University of Belgrade - School of Electrical Engineering.,"- otvoren kod
- R programski jezik
- predikcija
- primenjena statistika",publication,Conference paper,conferencepaper,2018-10-13,10.5281/zenodo.1411144,1411144,10.5281/zenodo.1469763,1469763,"- Krstajić, Damjan",srp
,ECSA EIE WG - presentation Daniela Soleri,"This is a recording of the presentation ""Equity and Citizen Science, Experiences Building the CSA Working Group"" by Daniela Soleri. The presentation was given on 25.10.2018 at the meeting of the working group on ""Empowerment, Inclusiveness and Equity"" jointly organised by the European Citizen Science Association and Living Knowledge Network.",- citizen science; equity; inclusiveness; empowerment,video,Video/Audio,,2019-06-11,10.5281/zenodo.3243401,3243401,10.5281/zenodo.3243402,3243402,"- Göbel, Claudia
- Soleri, Daniela",eng
,ECSA EIE WG - presentations Philipp Schrögel & Christian Humm and Rick Hall,"This is a recording of two presentations that were given on 26.02.2019 at the meeting of the working group on ""Empowerment, Inclusiveness and Equity"" co-chaired by Claudia Göbel, European Citizen Science Association, and Michael Sogard, Living Knowledge Network. The first presentation by Philipp Schrögel and his colleague Christian Humm, both  Karlsruhe Institut of Technology – KIT, introduces their current research project ""Citizen Science for all? Who is reached by science communication and citizen science? And who not?"" (factsheet in English). The second presentation by Rick Hall, Ignite!, introduces the methodology used by Ignite! to engage young people with science and art.

 ",- citizen science; inclusion; equity; empowerment; science communication; art,video,Video/Audio,,2019-06-11,10.5281/zenodo.3243410,3243410,10.5281/zenodo.3243411,3243411,"- Göbel, Claudia
- Schrögel, Philipp
- Humm, Christian
- Hall, Rick",eng
NO,Embedding Computer Vision in Citizen Science,"The rapid rise of Artificial Intelligence (AI) methods has presented new opportunities for those who work with biodiversity data. Computer vision, in particular where computers can be trained to identify species in digital photographs, has significant potential to address a number of existing challenges in citizen science.

The Biological Records Centre (www.brc.ac.uk) has been a central focus for terrestrial and freshwater citizen science in the United Kingdom for over 50 years. We will present our research on how computer vision can be embedded in citizen science, addressing three important questions.

How can contextual information, such as time of year, be included in computer vision? A naturalist will use a wealth of ecological knowledge about species in combination with information about where and when the image was taken to augment their decision making; we should emulate this in our AI. How can citizen scientists be best supported by computer vision? Our ambition is not to replace identification skills with AI but to use AI to support the learning process. How can computer vision support our limited resource of expert verifiers as data volumes increase? We receive more and more data each year, which puts a greater demand on our expert verifiers, who review all records to ensure data quality. We have been exploring how computer vision can lighten this workload.

We will present work that addresses these questions including: developing machine learning techniques that incorporate ecological information as well as images to arrive at a species classification; co-designing an identification tool to help farmers identify flowers beneficial to wildlife; and assessing the optimal combination of computer vision and expert verification to improve our verification systems.","- AI
- machine learning
- computer vision
- citizen science
- verification
- invasive species",publication,Journal article,article,2019-06-13,,3251322,10.3897/biss.3.37085,3251323,"- August, Tom
- Terry, J
- Roy, David",
NO,Empowering citizen science through free and open source GIS,"This article presents an overview of the GIS components of the COBWEB software framework, designed in order to support a collaborative citizen science environment. It describes the overall architecture of the system, focusing in new developments of existing Free and Open Source GIS software.","- GIS
- Volunteered geographic information
- Citizen science
- Free and open source software",publication,Journal article,article,2016-06-23,,638780,10.1186/s40965-016-0008-x,59561,"- Arias de Reyna, Maria
- Simoes, Joana",
NO,Enabling Open Science: Wikidata for Research,"Wiki4R will create an innovative virtual research environment (VRE) for Open Science at scale, engaging both professional researchers and citizen data scientists in new and potentially transformative forms of collaboration. It is based on the realizations that (1) the structured parts of the Web itself can be regarded as a VRE, (2) such environments depend on communities, (3) closed environments are limited in their capacity to nurture thriving communities. Wiki4R will therefore integrate Wikidata, the multilingual semantic backbone behind Wikipedia, into existing research processes to enable transdisciplinary research and reduce fragmentation of research in and outside Europe. By establishing a central shared information node, research data can be linked and annotated into knowledge. Despite occasional uses of Wikipedia or Wikidata in research, significant barriers to broader adoption in the sciences or digital humanities exist, including lack of integration into existing research processes and inadequate handling of provenances. The proposed actions include providing best practices and tools for semantic mapping, adoption of citation and author identifiers, interoperability layers for integration with existing research environments, and the development of policies for information quality and interchange. The effectiveness of the actions will be tested in pilot use cases. Unforeseen barriers will be investigated and documented. We will promote the adoption of Wiki4R by making it easy to use and integrate, demonstrate the applicability in selected research domains, and provide diverse training opportunities. Wiki4R leverages the expertise gained in Europe through the Wikidata and DBpedia projects to further strengthen the established virtual community of 14000 people. As a result of increased interaction between professional science and citizens, it will provide an improved basis for Responsible Research and Innovation and Open Science in the European Research Area.","- VRE
- Open Science
- citizen science
- cultural heritage
- Responsible Research and Innovation
- Wikidata",publication,Proposal,proposal,2015-01-12,10.5281/zenodo.606840,606840,10.5281/zenodo.13906,13906,"- Mietchen, Daniel
- Hagedorn, Gregor
- Willighagen, Egon
- Rico, Mariano
- Gomez-Perez, Asuncion
- Aibar, Eduard
- Rafes, Karima
- Germain, Cécile
- Dunning, Alastair
- Pintscher, Lydia
- Kinzler, Daniel
- Anonymous",
NO,Enabling Open Science: Wikidata for Research (Wiki4R),Enabling Open Science: Wikidata for Research (Wiki4R),"- Virtual Research Environment
- Wikidata
- identifiers
- citizen science
- collaboration
- concept mapping
- ontologies",publication,Journal article,article,2015-12-22,,781178,10.3897/rio.1.e7573,575794,"- Mietchen, Daniel
- Hagedorn, Gregor
- Willighagen, Egon
- Rico, Mariano
- Gómez-Pérez, Asunción
- Aibar, Eduard
- Rafes, Karima
- Germain, Cécile
- Dunning, Alastair
- Pintscher, Lydia
- Kinzler, Daniel",
NO,Energy Conscious Builder Design Pattern with C# and Intermediate Language,"Design Patterns have gained more and more acceptances since their emerging in software development world last decade and become another de facto standard of essential knowledge for Object-Oriented Programming developers nowadays. Their target usage, from the beginning, was for regular computers, so, minimizing power consumption had never been a concern. However, in this decade, demands of more complicated software for running on mobile devices has grown rapidly as the much higher performance portable gadgets have been supplied to the market continuously. To get along with time to market that is business reason, the section of software development for power conscious, battery, devices has shifted itself from using specific low-level languages to higher level ones. Currently, complicated software running on mobile devices are often developed by high level languages those support OOP concepts. These cause the trend of embracing Design Patterns to mobile world. However, using Design Patterns directly in software development for power conscious systems is not recommended because they were not originally designed for such environment. This paper demonstrates the adapted Design Pattern for power limitation system. Because there are numerous original design patterns, it is not possible to mention the whole at once. So, this paper focuses only in creating Energy Conscious version of existing regular ""Builder Pattern"" to be appropriated for developing low power consumption software.","- Design Patterns
- Builder Pattern
- Low Power
Consumption
- Object Oriented Programming
- Power Conscious
System
- Software.",publication,Journal article,article,2008-07-29,10.5281/zenodo.1079029,1079029,10.5281/zenodo.1079030,1079030,"- Kayun Chantarasathaporn
- Chonawat Srisa-an",eng
NO,Engaging the broader community in biodiversity research: the concept of the COMBER pilot project for divers in ViBRANT,"This paper discusses the design and implementation of a citizen science pilot project, COMBER (Citizens’ Network for the Observation of Marine BiodivERsity, http://www.comber.hcmr.gr), which has been initiated under the ViBRANT EU e-infrastructure. It is designed and implemented for divers and snorkelers who are interested in participating in marine biodiversity citizen science projects. It shows the necessity of engaging the broader community in the marine biodiversity monitoring and research projects, networks and initiatives. It analyses the stakeholders, the industry and the relevant markets involved in diving activities and their potential to sustain these activities. The principles, including data policy and rewards for the participating divers through their own data, upon which this project is based are thoroughly discussed. The results of the users analysis and lessons learned so far are presented. Future plans include promotion, links with citizen science web developments, data publishing tools, and development of new scientific hypotheses to be tested by the data collected so far.","- Citizen science
- marine biodiversity
- SCUBA diving
- data collection and publication
- sustainability",publication,Journal article,article,2011-11-28,,783262,10.3897/zookeys.150.2149,577487,"- Arvanitidis, Christos
- Faulwetter, Sarah
- Chatzigeorgiou, Georgios
- Penev, Lyubomir
- Bánki, Olaf
- Dailianis, Thanos
- Pafilis, Evangelos
- Kouratoras, Michail
- Chatzinikolaou, Eva
- Fanini, Lucia
- Vasileiadou, Aikaterini
- Pavloudi, Christina
- Vavilis, Panagiotis
- Koulouri, Panagiota
- Dounas, Costas",
NO,Enhancing Monitoring and Control of the Fall Armyworm (Spodoptera frugiperda) in the Democratic Republic of the Congo (DR Congo) by Citizen Science.,"The Fall Armyworm (FAW) (Spodoptera frugiperda - Lepidoptera) is an insect that feeds on more than 80 plant species and causes major damage to economically important crops including maize, rice or sugarcane. While in cooler climates development slows down to one or a few generations per year because frost kills the insect, in Africa, the FAW moths can travel hundreds of kilometers per night and reproduce every 1–2 months, which helped the pest spread rapidly. Environmental and climatic analyses of Africa show that the FAW is likely to build permanent and significant populations in West and Southern Africa, spreading to other regions when weather or temperatures are favourable.

Located in the Central Africa, the DR Congo is now facing this challenge. Since 2016, the FAW has caused important yield losses (up to 80% in 4 regions) where maize is cultivated. Almost 50 of the 147 administrative territories have been affected. The damage resulted in a surge in commodity prices (the price of a 25 kg bag of corn rose from $ 10 to $ 30).

Pesticides and genetically modified (GM) crops could be the main methods of control but many farmers in the DR Congo do not yet plant GM crops. Biopesticides (including virus-based and Bacillus thuringiensis), mass rearing and release of parasitoids and predators are  low-risk options, but remain prohibitive to many small-scale farmers; subsidies or government-funded interventions are unavailable.

In all cases, further research is needed across the country, through national and regional institutes, to understand the insect's lifecycle stages and feeding habits. A widespread communications programme is necessary to teach farmers how to monitor and identify the pest. There is a clear need for information resources about FAW, which can help inform and keep all interested parties up-to-date on the latest news regarding spread, management research, diagnostic protocols for monitoring and early detection techniques of FAW.

However, faced with a political will shifted to other priorities, no formal program to collect data to characterize this pest has been initiated and studies that provided current data are facing the following main challenges: (i) the national territory is too vast (more than 2,345,000 km2) and impossible to cover by these types of studies, (ii) insects are known under several common names (complicated by >240 languages) or only one name is used to identify taxonomically distant species; (iii) historical data are very hard to find (the oral tradition being preferred to writing); (iv) the absence of reference collections and the lack of specialists; (v) the difficulty of finding geo-referenced data (with the risk associated in its collection).

An effective alternative to circumvent these difficulties and to gather data is promoting citizen science. Such research programs involving scientists and the participation of amateurs or interested volunteer citizens within local populations would constitute a set of data across the country and over a longer period than what has been done so far. With the development of free software and mobile applications, non-specialists could, based on standards and protocols validated by scientists, be involved in the digitization of specimens observed or identification of insect species through graphical user interfaces; help clarify the correspondence between vernacular names and scientific names; participate in habitat monitoring of insect species; or help collecting geo-referenced data via mobile phone. These field-based research activities can be conducted without great expense and will offer professionals and non-professionals a collaborative ground to contribute together toward advances in monitoring and knowledge of FAW (and many other pests) in the DR Congo.","- Maize
- FAW
- pest
- Citizen science
- monitoring
- control",publication,Journal article,article,2017-08-22,,1140646,10.3897/tdwgproceedings.1.20499,1140647,"- Miankeba, Papy",
NO,Enriching Europeana: the Crowdsourcing Platform of the European Library,"As the digital platform for cultural heritage, the Europeana Collections preserve over 50 million digitised items from various libraries, museums and other cultural institutions. With digitisation comes the challenge of transforming these materials into useful and searchable information sources. This is particularly problematic for cultural heritage objects with handwritten texts. Digital images of handwritten documents are holding a lot of information that is not included in the metadata provided. The texts are difficult to decipher and it takes a lot of time to read, search and find them. Currently there are no accurate technical solutions for this problem. Automated Handwriting Recognition is a very difficult and error-prone task and technical solutions with high accuracy for character recognition on heterogeneous datasets are not available yet. Due to the lack of machine-interpretable text, it is not possible to perform a search based on the informational content and the covered topics. Similarly, it is presently not possible to use advanced AI technologies for performing exact automatic text processing. Thus, even with increasing automation, the transition from paper format into digitised items is not possible without human resources.

The Enriching Europeana project fills this gap by developing a crowdsourcing platform that will enable citizen science transcription and enrichment campaigns for a wide variety of digital heritage collections in the Europeana library. The aim is, on the one hand, to transcribe, annotate and translate content that is currently only available in image formats and, on the other hand, to improve the accessibility of Europeana content for a diverse group of people. Manual transcription of text material generates high-accuracy resources, supports a better understanding of materials and allows further reuse. It also facilitates the extraction of additional information such as dates, locations, subjects depicted (e.g. in the case of photos or illustrations) and relations with other resources. The newly created information will be integrated with the original collections and made available for the public user in the portals of Europeana, aggregators and content providers. By round-tripping enriched metadata and transcriptions, the Europeana metadata database will be improved and the improvements will be sustained.

The Enriching Europeana platform can be used by non-specialist end users: transcription and enrichment will become an easy, enjoyable and engaging task to perform and users will take part through gamification with competitions, ranking lists, levels and rewards. In order to bring a mixed user base together and to promote greater cross-generational cooperation in crowdsourcing activities, events, called ‘Transcribathons’, will be held during the lifetime of the Enriching Europeana project. A Transcribathon is a marathon-like competition where people form teams and compete against each other in the transcription of selected material within a fixed time. These events provide both a discussion platform and a learning platform.

European citizens will be able to make a meaningful contribution to their shared heritage through joining in the enrichment, transcription and translation activities of Enriching Europeana. By furthering the access to cultural heritage, their personal involvement holds a central role in the formation of European historical narratives.",,presentation,Presentation,,2019-06-28,10.5281/zenodo.3259732,3259732,10.5281/zenodo.3259733,3259733,"- Chung, Hui Ting",
NO,Entomological Collections in the Age of Big Data,"Andrew Edward Z. Short, Torsten Dikow, Corrie S. Moreau (2018): Entomological Collections in the Age of Big Data. Annual Review of Entomology 63: 513 - 530, DOI: 10.1146/annurev-ento-031616-035536

Abstract
With a million described species and more than half a billion preserved specimens, the large scale of insect collections is unequaled by those of any other group. Advances in genomics, collection digitization, and imaging have begun to more fully harness the power that such large data stores can provide. These new approaches and technologies have transformed how entomological collections are managed and utilized. While genomic research has fundamentally changed the way many specimens are collected and curated, advances in technology have shown promise for extracting sequence data from the vast holdings already in museums. Efforts to mainstream specimen digitization have taken root and have accelerated traditional taxonomic studies as well as distribution modeling and global change research. Emerging imaging technologies such as microcomputed tomography and confocal laser scanning microscopy are changing how morphology can be investigated. This review provides an overview of how the realization of big data has transformed our field and what may lie in store.

 ","- Biodiversity
- Taxonomy
- bioinformatics
- biological specimens
- digitization
- genomics
- natural history collections
- big data",publication,Journal article,article,2018-01-10,,1146856,10.1146/annurev-ento-031616- 035536,1146857,"- Andrew Edward Z. Short
- Torsten Dikow
- Corrie S. Moreau",
NO,EnviroDIY Mayfly Logger: v0.5b,"The EnviroDIY™ Mayfly Data Logger is an Arduino-framework microcontroller board designed specifically for environmental Internet of Things (IoT) applications with the goal to facilitate professional-quality, do-it-yourself (DIY) environmental science and monitoring. The Mayfly Logger can be programmed using standard Arduino code and community libraries via the Arduino Integrated Development Environment (IDE) software or the more powerful PlatformIO IDE. The Mayfly Logger features the ATmega1284p processor, which has 4 times more flash memory for sketches, 8 times more RAM, and almost twice as many input pins as the ATmega328p chip found in the most common Arduino boards. The Mayfly Data Logger also has an integrated solar lipo battery charger, a precise real time clock (RTC), a microSD memory card socket, an XBee radio module socket, and other hardware features.

Our EnviroDIY_Mayfly_Logger Github repository provides hardware design files and example code sketches, the EnviroDIY community provides support via project posts and forums, and the Mayfly Logger board is available for purchase on on Amazon for user convenience.

New features of version 0.5b (released in May 2017):

Added additional power options for the XBee radio socket, via jumper SJ13, to optionally power newer radios (i.e. 4G LTE-M & NBIoT) that require up to 2A of power at ~3.7V and do not have an external JST power socket. The SJ13 jumper on the back of the Mayfly Logger v0.5b allows the user to chose to power the XBee radio module from either the:
Mayfly's regulated 3.3v Vcc line (default), with a 500 mA maximum; or
LiPo battery unregulated direct power (option), if you cut the small trace that's connecting the ""3v3"" pad to the center pad of SJ13 (labeled ""BEE_Vcc""), and put a solder bridge joining ""BEE_Vcc"" to the pad labeled ""LIPO""","- Arduino
- EnviroDIY
- open source hardware",software,Software,,2019-02-18,10.5281/zenodo.2567248,2567248,10.5281/zenodo.2572006,2572006,"- Shannon Hicks
- Anthony Aufdenkampe
- Sara Damiano
- Dave Arscott",
NO,eOceans dive-logs for science and conservation: a case study of sharks in Thailand,"Many marine animals around the world are threatened by a variety of anthropogenic activities, yet there is often a paucity of data to monitor patterns in abundance and distribution or to evaluate human interventions. The new citizen science program eOceans helps to fill this gap by gathering observations of various marine animals from worldwide ocean explorers. In 2012, a dedicated Thailand-wide census of sharks, and other animals, began as collaboration between eOceans scientists and the dive tourism industry. Using the observations from 9,524 dives (9,357 hours underwater) logged by >169 divers on 153 sites, we describe the spatial and temporal patterns of sharks in coastal Thailand. A total of 12 shark species were encountered, most commonly (67%) as individuals, and were observed on 11% of all dives, on 59% of sites, in all months and years. The two most frequently encountered species were blacktip reef (Carcharhinus melanopterus) and leopard sharks (Stegostoma fasciatum). Many species had peak encounter rates in summer, but aggregated in various seasons in different years. Mating events and nursery sites were observed rarely, and only for blacktip reef and whitetip reef (Triaenodon obesus) sharks. These results could be of value to species- or region-specific biologists, ecologists and fisheries scientists, as well as to managers and policy makers that could use the findings to monitor future trends and prioritize conservation strategies. Moreover, this study highlights the value that collaborative eOceans citizen science projects could have in support of marine science, management and conservation efforts worldwide.","- Citizen science
- Sharks
- Conservation
- Spatiotemporal ecology
- Visual census
- Thailand
- Tourism",publication,Journal article,article,2018-04-06,,1216795,10.1101/296160,1216796,"- Ward-Paige, C.A.
- Westell, A
- Sing, B",
,Epityches eupompe,"This is the first time a butterfly aggregation of the ithomiine species Epityches eupompe was observed. It was seen in July 2017 at Intervales State Park, São Paulo state, Brazil in one of the last large remnants of the Atlantic Forest. Intervales is also known for its particularly high richness of birds and receives birdwatchers all year. A short scientific study was conducted - see ""More information"" at the end of the video. Visits to the butterfly aggregation are restricted and must always be followed by a park guide.","- Ithomiini, aggregation, Intervales, Atlantic Forest, citizen science",video,Video/Audio,,2017-11-01,10.5281/zenodo.1040325,1040325,10.5281/zenodo.1040326,1040326,"- Shirai, L. T.",por
,Estudio de publicaciones científicas  DATASET,Data set sobre el que se ha realizado del Observatorio de la Ciencia Ciudadana en España. El análisis aborda el conjunto de publicaciones en los que el término “citizen science” ha quedado recogido en el título o resumen (abstract) de la publicación.,"- ciencia ciudadana
- citizen science",dataset,Dataset,,2017-01-16,,735258,10.5281/zenodo.247412,247412,"- Serrano Sanz, Fermin
- Clemente Gallardo, Jesús
- Ibáñez, MariCarmen
- Sanz, Francisco
- Ruiz, Gonzalo
- Tarancón Lafita, Alfonso
- Iñiguez, David
- Ferrer, Alfredo
- Cauhé, Elisa",
NO,"European Citizen Science via the web: potentials, expectations and way ahead",A brief idea,"- open research accelerator
- citizen sicience
- open knowledge
- open data
- civic engagement",publication,Journal article,article,2015-09-28,,617649,10.5281/zenodo.31512,31512,"- Schade, Sven",
